*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Arduino APRS tracker v5
*Date=17:53:24
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
96;;;23.4797;-40.2777;0;Bottom;Via6
97;;;9.7282;-79.5801;0;Bottom;Copper Fill42
98;;;17.2593;-34.7491;0;Bottom;Copper Fill24
99;;;51.4859;-48.3578;0;Bottom;TXT1
100;;THT;59.5109;-6.69317;90;Bottom;bcn_btn
101;;;11.557;-45.6203;0;Bottom;Copper Fill49
102;;;20.1676;-60.9365;0;Bottom;Copper Fill47
103;;;30.6541;-1.23338;0;Bottom;TXT1
104;;;3.98392;-6.56617;0;Bottom;Hole2
105;;;30.6701;-2.67494;0;Bottom;TXT1
106;;;48.387;-43.6645;0;Bottom;Copper Fill3
107;;;57.8993;-21.0077;0;Bottom;Copper Fill68
108;;;30.7529;-51.1352;0;Bottom;TXT1
109;;;57.8993;-21.0077;0;Bottom;Copper Fill13
110;;TO92 [THT];11.6928;-33.0457;-90;Bottom;BC548
111;;;3.98392;-82.7662;0;Bottom;Hole1
112;;;49.2506;-73.9286;0;Bottom;Copper Fill38
113;;;58.2823;-63.6637;0;Bottom;TXT1
114;;;11.5824;-78.1069;0;Bottom;Copper Fill44
115;;;10.7188;-35.8286;0;Bottom;Copper Fill79
116;;;8.17417;-56.0772;0;Bottom;TXT1
117;;;29.8434;-58.5569;0;Bottom;TXT1
118;;;29.2354;-47.2954;0;Bottom;TXT1
119;;;24.9389;-64.3512;0;Bottom;Via1
120;;3 mm [THT];54.2049;-56.096;90;Bottom;LED_FIX
121;0.47mF;200 mil [THT, electrolytic];57.9589;-19.2662;90;Bottom;Cout1
122;;;17.2593;-44.9345;0;Bottom;Copper Fill39
123;10k;THT;55.1014;-59.9062;180;Bottom;R9
124;;;36.7284;-40.9086;0;Bottom;Copper Fill57
125;;THT;43.0009;-6.69317;90;Bottom;-pwr+
126;;;67.8434;-26.2782;0;Bottom;Copper Fill87
127;;;53.4797;-60.8095;0;Bottom;Copper Fill58
128;;;36.0045;-6.3519;0;Bottom;Copper Fill27
129;;;57.8993;-22.7095;0;Bottom;Copper Fill67
130;;;58.7502;-21.8586;0;Bottom;Copper Fill15
131;4.7k;THT;47.1639;-41.8087;90;Bottom;R5
132;;;35.0774;-79.6055;0;Bottom;Copper Fill43
133;;;30.6197;-22.7095;0;Bottom;Copper Fill10
134;;;28.6893;-43.6391;0;Bottom;Copper Fill60
135;;;11.7985;-2.13487;0;Bottom;TXT1
136;;TO92 [THT];71.1034;-26.1623;0;Bottom;BC547
137;;;12.3952;-35.8286;0;Bottom;Copper Fill80
138;;;68.6689;-27.1291;0;Bottom;Copper Fill86
139;;;59.1693;-27.7895;0;Bottom;Copper Fill76
140;;THT;61.1339;-67.5262;0;Bottom;GPS
141;;;47.5234;-73.9286;0;Bottom;Copper Fill37
142;;;59.1693;-26.0877;0;Bottom;Copper Fill77
143;;;8.43552;-76.3721;0;Bottom;TXT1
144;;;40.1828;-7.2282;0;Bottom;Copper Fill20
145;;;62.0522;-14.0481;0;Bottom;Copper Fill51
146;;;30.4563;-48.9994;0;Bottom;TXT1
147;;;37.4142;-50.7257;0;Bottom;Copper Fill48
148;;;77.6439;-6.56617;0;Bottom;Hole3
149;10k;THT;37.6389;-41.8087;-90;Bottom;R6
150;;;10.7188;-35.8286;0;Bottom;Copper Fill23
151;;;10.6934;-68.8486;0;Bottom;Copper Fill8
152;;;42.0497;-38.2035;0;Bottom;Copper Fill53
153;;;41.0845;-8.1553;0;Bottom;Copper Fill73
154;;THT;51.2559;-6.69317;90;Bottom;fan_sw
155;;;19.2239;-63.7162;0;Bottom;TNC
156;;;51.4003;-50.8966;0;Bottom;TXT1
157;;;58.4321;-68.6934;0;Bottom;TXT1
